Tahun,Bulan,Rata_rata_Harga_Tutup,Rata_rata_Volume
2024,4,7162.36,1.3699338E8
2024,5,7154.31,1.6074043889E8
2024,6,6904.72,1.4429191667E8
2024,7,7257.74,1.4487268261E8
2024,8,7416.76,1.4920022727E8
2024,9,7739.8,2.0112362E8
2024,10,7621.07,2.1466026087E8
2024,11,7269.29,2.02263505E8
2024,12,7216.04,1.6005832105E8
2025,1,7117.45,1.5856638947E8
2025,2,6730.65,1.6193422E8
2025,3,6457.06,1.4981604737E8
2025,4,6454.92,1.589585875E8
2025,5,7034.22,2.2891425294E8
2025,6,7038.14,2.1905088889E8
2025,7,7214.08,2.100764913E8
2025,8,7763.64,3.3010807E8
2025,9,7932.52,3.7441415238E8
2025,10,8145.75,3.4243748696E8
2025,11,8411.22,3.95959015E8
2025,12,8635.07,4.2513498E8
2026,1,8867.45,5.79775435E8
2026,2,8193.85,4.2531845E8
2026,3,7372.31,3.0494837059E8
2026,4,7184.44,2.9536E8
