Tahun,Bulan,Harga_Tutup_Rata2,Harga_Bulan_Lalu,Persentase_Pertumbuhan,Fase_Geopolitik
2023,1,6768.61,,,Sebelum Perang
2023,2,6885.58,6768.61,1.73,Sebelum Perang
2023,3,6748.64,6885.58,-1.99,Sebelum Perang
2023,4,6831.37,6748.64,1.23,Sebelum Perang
2023,5,6735.19,6831.37,-1.41,Sebelum Perang
2023,6,6673.74,6735.19,-0.91,Sebelum Perang
2023,7,6826.16,6673.74,2.28,Sebelum Perang
2023,8,6899.06,6826.16,1.07,Sebelum Perang
2023,9,6967.65,6899.06,0.99,Sebelum Perang
2023,10,6861.98,6967.65,-1.52,Sebelum Perang
2023,11,6909.09,6861.98,0.69,Sebelum Perang
2023,12,7162.59,6909.09,3.67,Sebelum Perang
2024,1,7238.07,7162.59,1.05,Sebelum Perang
2024,2,7284.16,7238.07,0.64,Sebelum Perang
2024,3,7339.2,7284.16,0.76,Sebelum Perang
2024,4,7165.03,7339.2,-2.37,Era Perang (Apr 2024 - Sekarang)
2024,5,7154.31,7165.03,-0.15,Era Perang (Apr 2024 - Sekarang)
2024,6,6904.72,7154.31,-3.49,Era Perang (Apr 2024 - Sekarang)
2024,7,7257.74,6904.72,5.11,Era Perang (Apr 2024 - Sekarang)
2024,8,7416.76,7257.74,2.19,Era Perang (Apr 2024 - Sekarang)
2024,9,7739.8,7416.76,4.36,Era Perang (Apr 2024 - Sekarang)
2024,10,7621.07,7739.8,-1.53,Era Perang (Apr 2024 - Sekarang)
2024,11,7269.29,7621.07,-4.62,Era Perang (Apr 2024 - Sekarang)
2024,12,7216.04,7269.29,-0.73,Era Perang (Apr 2024 - Sekarang)
2025,1,7117.45,7216.04,-1.37,Era Perang (Apr 2024 - Sekarang)
2025,2,6730.65,7117.45,-5.43,Era Perang (Apr 2024 - Sekarang)
2025,3,6457.06,6730.65,-4.06,Era Perang (Apr 2024 - Sekarang)
2025,4,6454.92,6457.06,-0.03,Era Perang (Apr 2024 - Sekarang)
2025,5,7034.22,6454.92,8.97,Era Perang (Apr 2024 - Sekarang)
2025,6,7038.14,7034.22,0.06,Era Perang (Apr 2024 - Sekarang)
2025,7,7214.08,7038.14,2.5,Era Perang (Apr 2024 - Sekarang)
2025,8,7763.64,7214.08,7.62,Era Perang (Apr 2024 - Sekarang)
2025,9,7932.52,7763.64,2.18,Era Perang (Apr 2024 - Sekarang)
2025,10,8145.75,7932.52,2.69,Era Perang (Apr 2024 - Sekarang)
2025,11,8411.22,8145.75,3.26,Era Perang (Apr 2024 - Sekarang)
2025,12,8635.07,8411.22,2.66,Era Perang (Apr 2024 - Sekarang)
2026,1,8867.45,8635.07,2.69,Era Perang (Apr 2024 - Sekarang)
2026,2,8193.85,8867.45,-7.6,Era Perang (Apr 2024 - Sekarang)
2026,3,7372.31,8193.85,-10.03,Era Perang (Apr 2024 - Sekarang)
2026,4,7184.44,7372.31,-2.55,Era Perang (Apr 2024 - Sekarang)
