time,temperature_2m_max,temperature_2m_min,precipitation_sum,lokasi,Tahun
2017-03-31,28.5,24.5,7.4,Makassar,2017
2017-04-01,28.5,24.6,4.6,Makassar,2017
2017-04-02,27.0,24.2,24.6,Makassar,2017
2017-04-03,27.3,24.4,27.0,Makassar,2017
2017-04-04,27.6,24.8,12.3,Makassar,2017
2017-04-05,27.5,24.4,10.1,Makassar,2017
2017-04-06,29.4,24.1,9.8,Makassar,2017
2017-04-07,29.7,24.0,0.1,Makassar,2017
2017-04-08,30.6,24.2,0.0,Makassar,2017
2017-04-09,29.9,24.8,0.8,Makassar,2017
2017-04-10,29.8,24.5,1.1,Makassar,2017
2017-04-11,29.6,24.4,0.2,Makassar,2017
2017-04-12,29.9,24.7,4.8,Makassar,2017
2017-04-13,27.4,25.0,7.8,Makassar,2017
2017-04-14,29.0,24.8,9.8,Makassar,2017
2017-04-15,29.8,24.1,0.0,Makassar,2017
2017-04-16,30.3,24.9,0.4,Makassar,2017
2017-04-17,29.9,25.6,1.0,Makassar,2017
2017-04-18,29.5,25.1,1.9,Makassar,2017
2017-04-19,30.4,24.3,13.5,Makassar,2017
2017-04-20,29.6,24.7,9.5,Makassar,2017
2017-04-21,30.2,25.1,2.6,Makassar,2017
2017-04-22,29.4,24.8,5.5,Makassar,2017
2017-04-23,28.5,24.2,27.5,Makassar,2017
2017-04-24,29.1,24.9,5.6,Makassar,2017
2017-04-25,29.8,22.9,0.0,Makassar,2017
2017-04-26,29.9,23.0,0.0,Makassar,2017
2017-04-27,29.9,24.0,1.1,Makassar,2017
2017-04-28,29.2,24.5,0.6,Makassar,2017
2017-04-29,30.1,24.5,0.0,Makassar,2017
2017-04-30,29.7,24.8,0.2,Makassar,2017
2017-05-01,30.6,25.3,0.6,Makassar,2017
2017-05-02,30.8,25.7,4.9,Makassar,2017
2017-05-03,29.9,25.2,8.1,Makassar,2017
2017-05-04,30.0,24.7,1.0,Makassar,2017
2017-05-05,30.5,24.6,0.0,Makassar,2017
2017-05-06,29.9,25.5,12.6,Makassar,2017
2017-05-07,29.3,25.2,17.3,Makassar,2017
2017-05-08,29.5,25.0,0.7,Makassar,2017
2017-05-09,30.1,25.0,10.4,Makassar,2017
2017-05-10,30.4,24.3,3.4,Makassar,2017
2017-05-11,30.0,25.5,6.2,Makassar,2017
2017-05-12,28.6,25.6,28.1,Makassar,2017
2017-05-13,29.5,24.0,5.2,Makassar,2017
2017-05-14,29.5,25.2,13.8,Makassar,2017
2017-05-15,29.9,24.8,2.8,Makassar,2017
2017-05-16,30.2,25.0,0.5,Makassar,2017
2017-05-17,29.4,24.8,0.0,Makassar,2017
2017-05-18,28.5,25.6,12.1,Makassar,2017
2017-05-19,29.6,25.6,1.8,Makassar,2017
2017-05-20,30.4,24.5,0.3,Makassar,2017
2017-05-21,29.4,24.8,0.0,Makassar,2017
2017-05-22,30.4,23.0,0.0,Makassar,2017
2017-05-23,30.2,24.0,0.0,Makassar,2017
2017-05-24,29.1,24.8,3.6,Makassar,2017
2017-05-25,29.5,25.2,5.4,Makassar,2017
2017-05-26,29.5,25.8,6.9,Makassar,2017
2017-05-27,29.1,25.1,3.0,Makassar,2017
2017-05-28,28.9,25.4,22.8,Makassar,2017
2017-05-29,29.4,25.2,8.9,Makassar,2017
2017-05-30,29.2,25.2,8.9,Makassar,2017
2017-05-31,29.5,25.1,12.6,Makassar,2017
2017-06-01,29.5,25.5,7.4,Makassar,2017
2017-06-02,29.2,25.1,5.8,Makassar,2017
2017-06-03,29.2,25.8,11.8,Makassar,2017
2017-06-04,27.0,24.8,7.1,Makassar,2017
2017-06-05,29.3,24.9,0.0,Makassar,2017
2017-06-06,29.2,24.4,0.8,Makassar,2017
2017-06-07,29.6,24.5,2.3,Makassar,2017
2017-06-08,29.5,25.2,4.0,Makassar,2017
2017-06-09,29.1,25.5,0.1,Makassar,2017
2017-06-10,30.5,24.7,12.3,Makassar,2017
2017-06-11,28.7,24.9,15.5,Makassar,2017
2017-06-12,29.6,25.2,37.9,Makassar,2017
2017-06-13,27.1,24.4,33.8,Makassar,2017
2017-06-14,29.7,23.5,3.1,Makassar,2017
2017-06-15,29.8,23.5,0.0,Makassar,2017
2017-06-16,28.6,24.5,6.2,Makassar,2017
2017-06-17,28.9,23.2,1.4,Makassar,2017
2017-06-18,28.9,23.6,0.2,Makassar,2017
2017-06-19,29.0,23.6,1.1,Makassar,2017
2017-06-20,26.2,24.1,20.6,Makassar,2017
2017-06-21,27.3,23.8,22.6,Makassar,2017
2017-06-22,29.0,23.0,0.0,Makassar,2017
2017-06-23,29.3,23.7,3.4,Makassar,2017
2017-06-24,29.5,23.8,5.8,Makassar,2017
2017-06-25,28.5,24.0,4.6,Makassar,2017
2017-06-26,29.1,23.2,2.1,Makassar,2017
2017-06-27,28.6,23.2,0.0,Makassar,2017
2017-06-28,29.5,23.1,3.0,Makassar,2017
2017-06-29,28.9,23.1,0.5,Makassar,2017
2017-06-30,29.0,25.0,7.3,Makassar,2017
2017-07-01,29.0,24.7,0.5,Makassar,2017
2017-07-02,29.2,23.0,0.1,Makassar,2017
2017-07-03,28.8,23.1,1.1,Makassar,2017
