time,temperature_2m_max,temperature_2m_min,precipitation_sum,lokasi,Tahun
2025-02-07,27.1,23.8,29.1,Makassar,2025
2025-02-08,27.8,23.7,34.1,Makassar,2025
2025-02-09,26.2,23.4,39.7,Makassar,2025
2025-02-10,27.0,23.9,29.6,Makassar,2025
2025-02-11,26.8,23.8,52.5,Makassar,2025
2025-02-12,28.4,24.3,8.0,Makassar,2025
2025-02-13,29.2,24.3,3.2,Makassar,2025
2025-02-14,29.2,24.6,2.0,Makassar,2025
2025-02-15,29.5,24.5,4.1,Makassar,2025
2025-02-16,30.0,24.2,0.4,Makassar,2025
2025-02-17,28.9,25.0,0.8,Makassar,2025
2025-02-18,28.2,25.0,1.0,Makassar,2025
2025-02-19,29.4,24.5,2.7,Makassar,2025
2025-02-20,26.9,24.1,10.2,Makassar,2025
2025-02-21,28.9,24.4,1.3,Makassar,2025
2025-02-22,29.2,24.5,7.5,Makassar,2025
2025-02-23,28.7,24.9,6.5,Makassar,2025
2025-02-24,27.8,24.5,25.2,Makassar,2025
2025-02-25,29.4,24.4,0.3,Makassar,2025
2025-02-26,29.6,24.5,10.0,Makassar,2025
2025-02-27,26.8,24.2,17.1,Makassar,2025
2025-02-28,29.4,23.7,0.6,Makassar,2025
2025-03-01,30.1,24.2,0.9,Makassar,2025
2025-03-02,30.0,25.0,0.7,Makassar,2025
2025-03-03,31.2,25.1,3.0,Makassar,2025
2025-03-04,31.0,25.5,0.4,Makassar,2025
2025-03-05,30.0,25.5,0.9,Makassar,2025
2025-03-06,31.2,25.0,5.8,Makassar,2025
2025-03-07,29.4,24.5,10.6,Makassar,2025
2025-03-08,27.0,23.5,21.5,Makassar,2025
2025-03-09,29.5,24.4,9.3,Makassar,2025
2025-03-10,29.5,24.1,24.9,Makassar,2025
2025-03-11,28.8,23.4,6.4,Makassar,2025
2025-03-12,30.4,24.8,3.3,Makassar,2025
2025-03-13,28.4,23.7,12.4,Makassar,2025
2025-03-14,30.0,25.0,1.2,Makassar,2025
2025-03-15,30.1,24.8,0.7,Makassar,2025
2025-03-16,27.8,24.6,11.7,Makassar,2025
2025-03-17,26.5,24.6,19.3,Makassar,2025
2025-03-18,26.9,23.8,29.8,Makassar,2025
2025-03-19,28.0,23.8,21.1,Makassar,2025
2025-03-20,28.5,24.0,4.1,Makassar,2025
2025-03-21,27.6,24.6,13.4,Makassar,2025
2025-03-22,27.7,24.5,9.3,Makassar,2025
2025-03-23,28.7,25.0,14.6,Makassar,2025
2025-03-24,30.0,25.0,5.8,Makassar,2025
2025-03-25,29.0,24.5,13.1,Makassar,2025
2025-03-26,29.6,24.8,0.4,Makassar,2025
2025-03-27,30.5,24.6,0.0,Makassar,2025
2025-03-28,31.1,24.7,0.1,Makassar,2025
2025-03-29,29.5,25.5,8.7,Makassar,2025
2025-03-30,28.1,24.9,7.2,Makassar,2025
2025-03-31,30.1,24.2,7.1,Makassar,2025
2025-04-01,27.8,24.6,12.2,Makassar,2025
2025-04-02,27.9,24.5,9.9,Makassar,2025
2025-04-03,29.9,24.4,0.9,Makassar,2025
2025-04-04,28.9,24.2,3.9,Makassar,2025
2025-04-05,26.9,24.7,10.5,Makassar,2025
2025-04-06,28.8,23.8,14.2,Makassar,2025
2025-04-07,29.5,24.2,15.0,Makassar,2025
2025-04-08,29.4,24.8,4.5,Makassar,2025
2025-04-09,29.3,25.2,1.4,Makassar,2025
2025-04-10,29.6,24.7,0.7,Makassar,2025
2025-04-11,29.0,24.6,17.3,Makassar,2025
2025-04-12,29.8,24.2,3.8,Makassar,2025
2025-04-13,30.0,24.5,0.0,Makassar,2025
2025-04-14,28.6,24.7,9.5,Makassar,2025
2025-04-15,29.0,24.4,6.6,Makassar,2025
2025-04-16,28.7,24.8,3.1,Makassar,2025
2025-04-17,29.1,24.8,9.3,Makassar,2025
2025-04-18,29.0,24.7,29.3,Makassar,2025
2025-04-19,29.8,24.5,9.4,Makassar,2025
2025-04-20,30.7,23.9,0.7,Makassar,2025
2025-04-21,29.9,24.8,0.7,Makassar,2025
2025-04-22,30.4,24.1,1.0,Makassar,2025
2025-04-23,30.5,25.5,0.0,Makassar,2025
2025-04-24,30.3,24.6,0.9,Makassar,2025
2025-04-25,29.9,25.0,2.2,Makassar,2025
2025-04-26,29.1,25.1,2.7,Makassar,2025
2025-04-27,29.5,24.8,1.8,Makassar,2025
2025-04-28,31.0,24.8,0.0,Makassar,2025
2025-04-29,31.7,24.5,0.7,Makassar,2025
2025-04-30,31.0,25.5,0.7,Makassar,2025
2025-05-01,31.6,25.4,0.4,Makassar,2025
2025-05-02,32.8,25.1,0.1,Makassar,2025
2025-05-03,32.1,25.4,0.2,Makassar,2025
2025-05-04,32.3,26.2,0.4,Makassar,2025
2025-05-05,31.3,26.0,2.8,Makassar,2025
2025-05-06,31.0,25.7,1.5,Makassar,2025
2025-05-07,31.0,24.5,8.9,Makassar,2025
2025-05-08,32.5,25.9,0.8,Makassar,2025
2025-05-09,31.4,25.7,0.0,Makassar,2025
2025-05-10,29.1,25.5,4.0,Makassar,2025
2025-05-11,31.5,25.0,0.0,Makassar,2025
2025-05-12,31.9,25.6,0.0,Makassar,2025
2025-05-13,32.3,25.7,0.2,Makassar,2025
2025-05-14,32.3,25.9,6.2,Makassar,2025
2025-05-15,31.9,26.0,1.3,Makassar,2025
2025-05-16,31.8,25.2,6.7,Makassar,2025
2025-05-17,31.1,24.7,10.1,Makassar,2025
2025-05-18,31.5,25.3,0.7,Makassar,2025
2025-05-19,31.9,25.5,0.0,Makassar,2025
2025-05-20,30.6,25.4,5.5,Makassar,2025
2025-05-21,30.6,24.9,14.9,Makassar,2025
2025-05-22,31.2,25.0,5.0,Makassar,2025
2025-05-23,30.5,25.2,0.7,Makassar,2025
2025-05-24,31.6,25.2,0.0,Makassar,2025
2025-05-25,33.0,26.1,0.2,Makassar,2025
2025-05-26,33.0,25.4,0.0,Makassar,2025
2025-05-27,29.5,26.1,1.2,Makassar,2025
2025-05-28,32.0,25.2,0.4,Makassar,2025
2025-05-29,31.1,26.4,1.9,Makassar,2025
2025-05-30,32.2,25.6,0.2,Makassar,2025
2025-05-31,28.5,25.0,25.4,Makassar,2025
2025-06-01,27.8,24.0,54.6,Makassar,2025
2025-06-02,27.1,23.5,21.3,Makassar,2025
2025-06-03,28.9,23.5,4.9,Makassar,2025
2025-06-04,30.1,23.9,0.0,Makassar,2025
2025-06-05,30.8,24.2,0.6,Makassar,2025
2025-06-06,29.9,24.0,0.1,Makassar,2025
2025-06-07,29.2,24.9,2.0,Makassar,2025
2025-06-08,30.5,24.5,0.0,Makassar,2025
2025-06-09,30.4,24.4,0.0,Makassar,2025
2025-06-10,31.4,23.9,0.1,Makassar,2025
2025-06-11,31.5,25.1,0.3,Makassar,2025
2025-06-12,28.5,24.5,26.5,Makassar,2025
2025-06-13,29.9,24.7,1.4,Makassar,2025
2025-06-14,29.3,24.9,3.8,Makassar,2025
