time,temperature_2m_max,temperature_2m_min,precipitation_sum,lokasi
2020-08-12,30.9,24.2,6.3,Makassar
2020-08-13,30.5,23.5,0.0,Makassar
2020-08-14,30.5,23.3,0.0,Makassar
2020-08-15,31.0,22.5,0.0,Makassar
2020-08-16,30.8,23.0,0.1,Makassar
2020-08-17,30.5,24.6,0.0,Makassar
2020-08-18,30.4,21.5,0.0,Makassar
2020-08-19,31.0,21.8,0.1,Makassar
2020-08-20,30.1,21.8,0.0,Makassar
2020-08-21,30.6,21.6,0.0,Makassar
2020-08-22,30.9,23.8,0.0,Makassar
2020-08-23,31.1,24.4,0.0,Makassar
2020-08-24,31.6,23.0,0.0,Makassar
2020-08-25,33.0,22.5,0.0,Makassar
2020-08-26,32.3,21.2,0.0,Makassar
2020-08-27,30.8,24.1,0.0,Makassar
2020-08-28,31.3,24.1,0.0,Makassar
2020-08-29,31.5,24.2,0.0,Makassar
2020-08-30,30.6,24.5,0.0,Makassar
2020-08-31,31.0,23.8,0.0,Makassar
2020-09-01,31.0,26.2,0.7,Makassar
2020-09-02,30.9,24.5,18.9,Makassar
2020-09-03,30.7,25.1,6.0,Makassar
2020-09-04,31.1,24.2,0.2,Makassar
2020-09-05,30.9,24.6,0.0,Makassar
2020-09-06,32.2,23.0,0.0,Makassar
2020-09-07,31.8,23.1,0.0,Makassar
2020-09-08,31.0,25.5,0.1,Makassar
2020-09-09,31.5,25.9,0.5,Makassar
2020-09-10,32.5,24.0,0.0,Makassar
2020-09-11,31.3,25.6,0.4,Makassar
2020-09-12,31.7,24.3,0.0,Makassar
2020-09-13,33.5,25.1,0.0,Makassar
2020-09-14,32.8,23.4,0.0,Makassar
2020-09-15,31.8,24.1,0.0,Makassar
2020-09-16,31.0,23.4,0.0,Makassar
2020-09-17,30.4,24.8,0.0,Makassar
2020-09-18,31.9,25.8,0.9,Makassar
2020-09-19,31.3,25.7,2.0,Makassar
2020-09-20,31.1,24.5,2.7,Makassar
2020-09-21,32.0,24.5,1.4,Makassar
2020-09-22,32.9,25.3,1.5,Makassar
2020-09-23,33.5,24.5,0.3,Makassar
2020-09-24,30.6,24.6,3.3,Makassar
2020-09-25,30.6,23.4,0.0,Makassar
2020-09-26,32.8,23.5,0.0,Makassar
2020-09-27,31.6,25.1,3.5,Makassar
2020-09-28,32.1,23.9,0.2,Makassar
2020-09-29,31.1,24.0,0.0,Makassar
2020-09-30,31.0,25.5,0.2,Makassar
2020-10-01,31.2,25.3,0.0,Makassar
2020-10-02,31.7,24.1,0.0,Makassar
2020-10-03,32.8,23.5,0.0,Makassar
2020-10-04,32.8,22.8,0.0,Makassar
2020-10-05,31.6,23.6,0.4,Makassar
